Date,Price
Jan-90,1 294.00
Feb-90,1 394.00
Mar-90,1 666.00
Apr-90,1 686.00
May-90,1 775.00
Jun-90,1 715.00
Jul-90,1 637.00
Aug-90,1 615.00
Sep-90,1 537.00
Oct-90,1 353.00
Nov-90,1 278.00
Dec-90,1 265.00
Jan-91,1 206.00
Feb-91,1 188.00
Mar-91,1 199.00
Apr-91,1 254.00
May-91,1 127.70
Jun-91,1 067.40
Jul-91,1 063.40
Aug-91,1 047.70
Sep-91,1 025.60
Oct-91,991.6
Nov-91,1 100.70
Dec-91,1 185.10
Jan-92,1 157.70
Feb-92,1 135.50
Mar-92,1 217.80
Apr-92,1 304.90
May-92,1 377.70
Jun-92,1 385.40
Jul-92,1 320.40
Aug-92,1 363.40
Sep-92,1 367.10
Oct-92,1 158.40
Nov-92,1 052.20
Dec-92,1 061.50
Jan-93,1 067.60
Feb-93,1 073.60
Mar-93,996.8
Apr-93,1 006.00
May-93,979.3
Jun-93,928.2
Jul-93,930.1
Aug-93,886.8
Sep-93,875.7
Oct-93,918.6
Nov-93,929.4
Dec-93,975.5
Jan-94,998.6
Feb-94,969.8
Mar-94,937.6
Apr-94,924.3
May-94,956.7
Jun-94,966
Jul-94,962.6
Aug-94,946.9
Sep-94,993.5
Oct-94,1 059.50
Nov-94,1 150.30
Dec-94,1 112.80
Jan-95,1 154.80
Feb-95,1 030.70
Mar-95,1 021.70
Apr-95,1 059.10
May-95,1 036.60
Jun-95,1 007.80
Jul-95,1 028.10
Aug-95,1 015.50
Sep-95,988
Oct-95,980.4
Nov-95,1 033.20
Dec-95,1 017.20
Jan-96,1 019.70
Feb-96,1 035.80
Mar-96,1 063.30
Apr-96,1 043.90
May-96,1 036.50
Jun-96,1 009.40
Jul-96,1 000.50
Aug-96,1 008.00
Sep-96,999
Oct-96,1 002.70
Nov-96,1 044.30
Dec-96,1 036.50
Jan-97,1 086.10
Feb-97,1 178.20
Mar-97,1 254.30
Apr-97,1 240.00
May-97,1 310.10
Jun-97,1 355.00
Jul-97,1 517.00
Aug-97,1 650.60
Sep-97,1 638.30
Oct-97,1 276.70
Nov-97,1 171.20
Dec-97,1 101.30
Jan-98,1 096.30
Feb-98,1 043.20
Mar-98,1 046.80
Apr-98,1 096.20
May-98,1 060.40
Jun-98,1 007.60
Jul-98,1 043.50
Aug-98,1 029.10
Sep-98,999.6
Oct-98,941.4
Nov-98,966
Dec-98,961.6
Jan-99,931.8
Feb-99,1 017.60
Mar-99,1 028.80
Apr-99,1 018.20
May-99,1 039.90
Jun-99,999.9
Jul-99,1 071.20
Aug-99,1 129.70
Sep-99,1 192.90
Oct-99,1 148.00
Nov-99,1 146.40
Dec-99,1 185.20
Jan-00,1 178.60
Feb-00,1 098.30
Mar-00,1 113.00
Apr-00,1 132.50
May-00,1 154.10
Jun-00,1 116.20
Jul-00,1 135.90
Aug-00,1 172.60
Sep-00,1 221.70
Oct-00,1 091.60
Nov-00,1 058.70
Dec-00,1 059.30
Jan-01,1 032.70
Feb-01,1 021.60
Mar-01,1 005.60
Apr-01,970.1
May-01,938
Jun-01,896.9
Jul-01,853.3
Aug-01,830
Sep-01,799.5
Oct-01,761.7
Nov-01,774.3
Dec-01,758
Jan-02,794.2
Feb-02,773.5
Mar-02,820
Apr-02,807.6
May-02,768.3
Jun-02,769.4
Jul-02,795
Aug-02,748.8
Sep-02,756.2
Oct-02,755.1
Nov-02,764.6
Dec-02,794.3
Jan-03,782.3
Feb-03,785.6
Mar-03,790.3
Apr-03,756.7
May-03,776.1
Jun-03,790.6
Jul-03,828.5
Aug-03,815.2
Sep-03,818.9
Oct-03,900.1
Nov-03,914.2
Dec-03,976.8
Jan-04,1 015.90
Feb-04,1 085.80
Mar-04,1 101.80
Apr-04,1 028.90
May-04,1 031.00
Jun-04,1 018.80
Jul-04,988.1
Aug-04,976.8
Sep-04,980
Oct-04,1 066.90
Nov-04,1 100.20
Dec-04,1 182.10
Jan-05,1 245.50
Feb-05,1 323.10
Mar-05,1 373.90
Apr-05,1 297.80
May-05,1 245.50
Jun-05,1 273.10
Jul-05,1 196.80
Aug-05,1 300.70
Sep-05,1 396.60
Oct-05,1 483.20
Nov-05,1 610.60
Dec-05,1 819.30
Jan-06,2 091.80
Feb-06,2 219.70
Mar-06,2 427.60
Apr-06,3 068.30
May-06,3 544.60
Jun-06,3 197.60
Jul-06,3 320.70
Aug-06,3 340.00
Sep-06,3 394.10
Oct-06,3 829.60
Nov-06,4 378.60
Dec-06,4 381.40
Jan-07,3 784.90
Feb-07,3 321.40
Mar-07,3 256.20
Apr-07,3 566.90
May-07,3 847.50
Jun-07,3 628.70
Jul-07,3 546.30
Aug-07,3 244.20
Sep-07,2 887.60
Oct-07,2 980.00
Nov-07,2 554.60
Dec-07,2 378.60
Jan-08,2 364.40
Feb-08,2 458.50
Mar-08,2 511.20
Apr-08,2 278.50
May-08,2 178.30
Jun-08,1 906.20
Jul-08,1 856.40
Aug-08,1 734.70
Sep-08,1 744.50
Oct-08,1 303.00
Nov-08,1 169.40
Dec-08,1 112.90
Jan-09,1 202.50
Feb-09,1 118.00
Mar-09,1 223.20
Apr-09,1 388.10
May-09,1 492.50
Jun-09,1 556.80
Jul-09,1 580.90
Aug-09,1 818.00
Sep-09,1 879.10
Oct-09,2 070.80
Nov-09,2 196.50
Dec-09,2 374.00
Jan-10,2 414.70
Feb-10,2 158.80
Mar-10,2 277.30
Apr-10,2 367.50
May-10,1 969.80
Jun-10,1 746.50
Jul-10,1 847.00
Aug-10,2 047.50
Sep-10,2 150.90
Oct-10,2 373.60
Nov-10,2 283.30
Dec-10,2 287.30
Jan-11,2 375.80
Feb-11,2 473.50
Mar-11,2 341.50
Apr-11,2 371.50
May-11,2 159.60
Jun-11,2 234.50
Jul-11,2 397.80
Aug-11,2 199.20
Sep-11,2 075.20
Oct-11,1 871.40
Nov-11,1 935.30
Dec-11,1 911.20
Jan-12,1 989.20
Feb-12,2 057.80
Mar-12,2 035.90
Apr-12,2 002.70
May-12,1 928.00
Jun-12,1 855.90
Jul-12,1 847.80
Aug-12,1 816.30
Sep-12,2 009.90
Oct-12,1 904.00
Nov-12,1 912.40
Dec-12,2 040.40
Jan-13,2 031.40
Feb-13,2 128.70
Mar-13,1 929.20
Apr-13,1 855.60
May-13,1 831.00
Jun-13,1 839.00
Jul-13,1 837.60
Aug-13,1 896.40
Sep-13,1 846.90
Oct-13,1 884.80
Nov-13,1 866.40
Dec-13,1 975.00
Jan-14,2 036.90
Feb-14,2 034.50
Mar-14,2 007.90
Apr-14,2 027.20
May-14,2 059.00
Jun-14,2 128.10
Jul-14,2 310.60
Aug-14,2 327.00
Sep-14,2 294.60
Oct-14,2 276.80
Nov-14,2 253.20
Dec-14,2 175.80
Jan-15,2 113.00
Feb-15,2 097.80
Mar-15,2 028.70
Apr-15,2 212.70
May-15,2 281.80
Jun-15,2 082.10
Jul-15,2 000.70
Aug-15,1 807.60
Sep-15,1 720.20
Oct-15,1 724.30
Nov-15,1 583.30
Dec-15,1 527.80
Jan-16,1 520.40
Feb-16,1 709.80
Mar-16,1 801.70
Apr-16,1 855.40
May-16,1 869.00
Jun-16,2 026.20
Jul-16,2 183.30
Aug-16,2 279.10
Sep-16,2 292.30
Oct-16,2 311.50
Nov-16,2 566.20
Dec-16,2 664.80
Jan-17,2 714.80
Feb-17,2 845.60
Mar-17,2 776.90
Apr-17,2 614.90
May-17,2 590.20
Jun-17,2 573.40
Jul-17,2 787.20
Aug-17,2 980.70
Sep-17,3 116.90
Oct-17,3 264.60
Nov-17,3 229.30
Dec-17,3 195.90
Jan-18,3 441.50
Feb-18,3 532.90
Mar-18,3 269.20
Apr-18,3 188.10
May-18,3 059.90
Jun-18,3 088.60
Jul-18,2 656.10
Aug-18,2 512.00
Sep-18,2 434.70
Oct-18,2 673.70
Nov-18,2 595.70
Dec-18,2 616.30
Jan-19,2 569.70
Feb-19,2 707.20
Mar-19,2 850.60
Apr-19,2 932.70
May-19,2 742.80
Jun-19,2 601.20
Jul-19,2 446.50
Aug-19,2 273.00
Sep-19,2 331.60
Oct-19,2 451.70
Nov-19,2 425.50
Dec-19,2 272.50
Jan-20,2 354.30
Feb-20,2 113.20
Mar-20,1 903.60
Apr-20,1 903.40
May-20,1 975.30
Jun-20,2 025.70
Jul-20,2 177.20
Aug-20,2 413.90
Sep-20,2 442.50
Oct-20,2 440.70
Nov-20,2 671.60
Dec-20,2 779.90
Jan-21,2 705.30
Feb-21,2 744.50
Mar-21,2 791.90
Apr-21,2 829.00
May-21,2 969.60
Jun-21,2 951.90
Jul-21,2 947.50
Aug-21,2 987.90
Sep-21,3 036.00
Oct-21,3 359.90
Nov-21,3 311.30
Dec-21,3 399.20
Jan-22,3 599.10
Feb-22,3 620.00
Mar-22,3 962.20
Apr-22,4 371.30
May-22,3 769.70
Jun-22,3 652.90
Jul-22,3 105.40
Aug-22,3 590.10
Sep-22,3 125.00
Oct-22,2 967.20
Nov-22,2 938.90
Dec-22,3 116.50
Jan-23,3 295.90
Feb-23,3 133.80
Mar-23,2 967.50
Apr-23,2 770.40
May-23,2 485.80
Jun-23,2 375.50
Jul-23,2 404.60
Aug-23,2 405.20
Sep-23,2 495.50
Oct-23,2 447.20
Nov-23,2 543.60
Dec-23,2 510.60
Jan-24,2 520.90
Feb-24,2 360.10
Mar-24,2 457.90
Apr-24,2 725.60
May-24,2 955.20
Jun-24,2 809.20
Jul-24,2 777.30
Aug-24,2 721.10
Sep-24,2 847.50
Oct-24,3 105.80
Nov-24,3 004.20
Dec-24,3 033.80
Jan-25,2 824.80
Feb-25,2 798.30
Mar-25,2 886.80
